# X0 Y0 Z0 sigma0 atan step X Y Z sigma
-231 386 402030 1 4051886 12 -231 385 -3649856 0
-64 402 671688 0 3205262 6 -58 403 3876950 1
-398 503 1701586 1 763157 9 -398 502 938429 1
337 47 -902493 1 811657 8 337 48 -1714150 0
384 -437 1056816 1 105997 8 386 -436 950819 1
-15 -459 -352056 1 3748610 5 0 -460 -4100666 0
387 -23 -46008 1 134486 7 388 -20 -180494 0
184 293 1420028 1 3582600 11 184 293 -2162572 0
479 76 -1415788 1 491053 7 479 79 -1906841 0
436 -185 2066581 1 2904717 10 437 -185 -838136 0
49 -422 -1281495 1 2679322 12 50 -422 -3960817 0
481 381 -1276439 1 1181261 14 481 381 -2457700 0
2 -242 1425020 1 2877964 4 18 -242 -1452944 0
89 76 -1209924 0 3910062 6 90 75 2700138 1
-261 -200 -604836 1 2057932 4 -248 -217 -2662768 0
-123 -100 694346 1 2662666 6 -121 -102 -1968320 0
-147 363 82818 0 722591 0 216 510 805409 1
-471 -135 421023 1 3873126 10 -470 -136 -3452103 0
399 175 -1451892 0 1908376 12 399 175 456484 1
500 -188 -300981 1 966124 14 501 -188 -1267105 0
-35 282 -1854088 0 3412480 13 -35 283 1558392 1
364 -477 -1406988 0 1433485 12 363 -477 26497 1
233 -487 -1134166 1 1402092 3 294 -458 -2536258 0
489 47 -1787947 0 2746446 2 500 -75 958499 1
-86 420 -1998818 1 2138082 15 -86 419 -4136900 0
-389 291 -580574 1 2835028 11 -389 290 -3415602 0
-151 377 1551214 1 1718905 3 -198 358 -167691 0
292 -445 1931184 1 3552379 4 320 -427 -1621195 0
-128 193 1168460 1 382153 9 -128 192 786307 1
213 -291 481303 1 3074901 11 214 -291 -2593598 0
144 265 416626 1 2655497 11 144 265 -2238871 0
-179 289 -738257 1 2299394 4 -197 277 -3037651 0
-297 311 -1210499 0 2501630 15 -297 312 1291131 1
-293 -192 -1450266 0 56460 11 -294 -191 -1393806 0
-439 -402 -494187 1 1452791 10 -438 -403 -1946978 0
-373 118 -350933 1 2005173 2 -402 24 -2356106 0
386 -363 -1777156 0 1828643 15 385 -363 51487 1
-265 487 1177381 1 1289132 15 -265 486 -111751 0
-436 78 -782112 1 1837777 6 -437 71 -2619889 0
-23 -359 -72377 1 2894879 13 -22 -360 -2967256 0
-330 38 1348123 0 1508023 15 -330 39 2856146 1
195 292 -925419 0 2042137 15 195 292 1116718 1
445 355 422819 1 2489673 4 423 382 -2066854 0
124 -264 -2064102 1 1532213 3 157 -249 -3596315 0
-187 466 357068 1 2849257 6 -194 463 -2492189 0
135 -21 1298575 0 832410 14 134 -21 2130985 1
390 -426 -107745 0 690151 15 389 -426 582406 1
495 -34 -499450 0 3117670 13 494 -34 2618220 1
210 -436 -1770509 0 2079080 14 209 -436 308571 1
-461 86 97622 0 2014181 1 -418 317 2111803 1
228 375 621061 1 9340 2 135 432 611721 1
180 -19 -581809 0 1343880 10 179 -19 762071 1
-419 -16 -507543 1 1156136 9 -418 -17 -1663679 0
109 99 -1678628 0 3829394 12 109 99 2150766 1
-208 130 -701067 1 1198287 3 -224 104 -1899354 0
-300 -457 1040344 1 104705 8 -298 -459 935639 1
167 179 855926 0 3330442 3 189 159 4186368 1
-338 -90 1246416 1 3717066 10 -337 -91 -2470650 0
-310 -318 734630 0 2454802 5 -320 -308 3189432 1
210 456 -479064 1 3073125 13 210 456 -3552189 0
-240 -156 1316072 1 1344012 10 -239 -157 -27940 0
-353 -154 1973643 1 1696677 10 -352 -155 276966 1
264 96 1859529 1 2775780 13 264 96 -916251 0
22 -452 1975437 0 746630 2 -91 -457 2722067 1
114 -102 192997 1 2148634 9 115 -102 -1955637 0
283 211 -714351 1 2505028 10 283 211 -3219379 0
-120 404 -295893 1 2067322 13 -120 403 -2363215 0
225 391 -821369 0 625957 8 226 391 -195412 0
491 487 194481 0 1177027 10 491 487 1371508 1
-23 -100 1193038 1 70160 5 -19 -101 1122878 1
331 -57 299464 0 714500 0 274 -388 1013964 1
154 81 821312 0 55958 12 154 81 877270 1
-204 88 2075854 1 1200370 15 -204 87 875484 1
252 53 -1820938 1 1654888 9 252 53 -3475826 0
461 -110 1767985 1 3744532 5 465 -96 -1976547 0
329 175 -1984134 0 858852 13 329 175 -1125282 0
-26 390 1247584 1 4187803 11 -26 389 -2940219 0
309 54 1255610 0 935590 12 309 54 2191200 1
-390 -320 -1164995 0 2738725 11 -391 -319 1573730 1
-348 -4 -916669 0 2450710 5 -349 7 1534041 1
44 183 1117431 1 822146 10 44 183 295285 1
-156 -418 833518 1 1268261 3 -103 -438 -434743 0
-162 29 -194021 0 308324 12 -162 30 114303 1
412 -8 912857 1 1610869 2 414 95 -698012 0
123 464 -1433038 0 103717 13 123 464 -1329321 0
448 -483 1855121 0 100923 6 440 -490 1956044 1
98 -120 1918994 1 440497 10 99 -120 1478497 1
75 -160 1138843 1 1647222 12 76 -160 -508379 0
310 -1 250056 1 1758228 8 311 0 -1508172 0
-454 121 -514659 1 3102182 4 -461 92 -3616841 0
452 174 -1955693 0 767996 7 453 171 -1187697 0
-464 391 -1656544 0 2160261 8 -463 393 503717 1
-27 187 1839406 0 2100035 5 -22 188 3939441 1
-45 -211 483915 0 1108115 6 -49 -210 1592030 1
-103 -324 -1518055 1 924515 10 -102 -325 -2442570 0
219 135 1844840 0 1988285 11 219 135 3833125 1
395 -54 -82331 1 2640252 3 402 -5 -2722583 0
27 -284 483450 1 3464269 8 29 -284 -2980819 0
-57 -456 1369250 1 3793355 6 -49 -457 -2424105 0
296 -466 1709187 1 3063171 9 297 -466 -1353984 0
-391 135 863647 1 3688164 7 -392 131 -2824517 0
-307 -155 -560935 1 3366610 2 -268 -232 -3927545 0
-219 -180 -1296254 0 828180 2 -264 -125 -468074 0
-179 337 2004997 1 2817154 7 -181 335 -812157 0
231 -363 35740 1 731055 14 232 -363 -695315 0
228 214 -938682 1 668276 3 202 242 -1606958 0
197 -462 -1612711 0 1442429 11 196 -462 -170282 0
411 -187 1318583 0 2006677 12 410 -187 3325260 1
101 227 1341423 0 1314356 8 101 227 2655779 1
140 106 -1683330 1 159537 12 140 106 -1842867 0
463 -449 -1631074 0 1332508 14 462 -449 -298566 0
-416 -368 756296 1 1397520 6 -410 -375 -641224 0
238 -479 183759 0 2798501 14 237 -479 2982260 1
-288 -259 -372283 1 429896 1 -158 -403 -802179 0
87 342 -655140 0 1797107 3 129 332 1141967 1
-179 492 1178085 0 19919 4 -149 504 1198004 1
-92 -454 1466897 1 3758692 7 -88 -455 -2291795 0
-93 -371 -434029 0 1667422 8 -95 -370 1233393 1
426 178 -1167378 1 2793521 15 426 178 -3960899 0
26 118 -1249105 0 34117 7 26 118 -1214988 0
-255 -66 312539 1 2010871 0 -189 -321 -1698332 0
-31 77 -590457 0 622339 2 -12 85 31882 1
-220 164 -294379 0 3197293 14 -220 165 2902914 1
-131 322 1287323 1 1353397 10 -131 321 -66074 0
229 -208 -109760 1 3809642 0 437 21 -3919402 0
244 319 604591 0 1599655 4 263 304 2204246 1
4 -287 -1545133 1 1866670 1 148 -285 -3411803 0
298 -212 983874 1 3261531 5 305 -203 -2277657 0
227 -116 -1208245 1 377145 15 228 -116 -1585390 0
230 -110 1161384 1 3551932 13 231 -110 -2390548 0
-209 -235 -329701 0 674607 2 -268 -182 344906 1
344 -3 -1167706 1 121358 9 345 -3 -1289064 0
225 247 1328786 0 1580323 5 232 240 2909109 1
-77 -297 1787809 1 3619319 1 72 -336 -1831510 0
508 -306 1449805 0 1182451 4 488 -337 2632256 1
-427 -6 227635 0 2731832 9 -428 -5 2959467 1
-146 178 -205848 0 2455521 4 -135 188 2249673 1
-405 86 904757 0 165270 15 -405 87 1070027 1
321 260 388865 0 742053 15 321 260 1130918 1
-350 54 -199521 1 352466 9 -350 53 -551987 0
20 -50 800036 1 3805531 2 33 -45 -3005495 0
430 -428 325125 0 3749840 9 429 -428 4074965 1
-161 36 1097443 0 531765 6 -161 39 1629208 1
43 -416 1768494 0 86477 11 42 -416 1854971 1
81 198 -656485 1 2363860 1 -18 238 -3020345 0
359 -362 894067 0 340917 14 358 -362 1234984 1
-332 -450 -426095 1 3715929 15 -331 -451 -4142024 0
-315 -28 1709918 1 3232126 13 -314 -29 -1522208 0
-401 -463 372540 1 1825072 12 -400 -464 -1452532 0
325 129 -1597121 0 1746574 11 325 129 149453 1
204 -437 1358818 0 2777467 11 203 -437 4136285 1
293 158 1978920 1 1480500 8 293 159 498420 1
229 -114 -1907813 0 3614797 3 214 -142 1706984 1
