# input_vector shift_positions expected_result
-231 14 -1
98 15 0
486 12 0
-64 14 -1
163 12 0
-85 6 -2
-398 15 -1
415 2 103
184 9 0
337 8 1
-221 3 -28
22 8 0
384 1 192
258 0 258
229 8 0
-512 7 -4
-470 5 -15
-233 12 -1
-15 0 -15
-86 14 -1
267 5 8
387 7 3
-12 0 -12
481 7 3
184 12 0
346 13 0
283 11 0
-474 15 -1
432 9 0
-70 11 -1
479 9 0
-346 1 -173
404 7 3
436 5 13
504 11 0
112 10 0
49 1 24
-313 10 -1
274 12 0
350 12 0
-240 13 -1
237 10 0
481 13 0
-312 4 -20
183 14 0
2 4 0
347 10 0
59 4 3
89 9 0
-296 14 -1
-319 6 -5
-261 4 -17
-148 7 -2
49 4 3
-123 6 -2
169 10 0
142 6 2
-147 13 -1
20 2 5
-435 0 -435
-471 5 -15
102 14 0
449 10 0
399 10 0
-355 7 -3
-439 12 -1
500 5 15
-74 3 -10
326 14 0
-398 12 -1
-27 9 -1
247 1 123
-35 12 -1
-453 13 -1
-208 13 -1
364 0 364
-344 5 -11
-48 12 -1
233 0 233
-277 5 -9
55 3 6
489 8 1
-437 10 -1
-46 2 -12
-86 14 -1
-488 8 -2
173 15 0
-389 12 -1
-142 10 -1
414 11 0
-151 13 -1
378 6 5
39 3 4
292 1 146
471 13 0
123 4 7
-128 11 -1
285 1 142
369 9 0
213 3 26
117 11 0
36 11 0
144 12 0
101 10 0
15 11 0
-179 12 -1
-181 8 -1
177 4 11
-297 12 -1
-296 9 -1
-324 15 -1
-293 5 -10
-355 0 -355
-437 11 -1
-439 1 -220
-121 5 -4
381 10 0
-373 9 -1
-86 7 -1
113 2 28
386 2 96
-434 6 -7
-128 15 -1
-265 15 -1
287 4 17
355 15 0
-436 9 -1
-191 7 -2
427 6 6
-23 2 -6
-18 11 -1
183 13 0
-330 8 -2
329 5 10
-186 15 -1
195 12 0
-226 7 -2
-168 15 -1
445 13 0
103 9 0
94 4 5
124 3 15
-504 5 -16
358 3 44
-187 15 -1
87 10 0
60 6 0
135 7 1
317 3 39
-484 14 -1
390 1 195
-27 2 -7
-59 15 -1
495 7 3
-122 11 -1
-408 13 -1
210 1 105
-433 7 -4
-485 14 -1
-381 3 -48
239 5 7
-432 1 -216
-461 9 -1
23 7 0
-106 1 -53
228 13 0
151 0 151
18 2 4
180 7 1
-143 5 -5
-115 10 -1
-419 7 -4
-124 4 -8
387 9 0
109 9 0
-410 14 -1
-499 12 -1
-208 10 -1
-172 4 -11
382 3 47
-300 0 -300
253 0 253
427 8 1
67 1 33
207 15 0
-309 9 -1
167 10 0
208 12 0
-376 3 -47
-338 6 -6
304 14 0
229 10 0
-310 3 -39
179 9 0
-403 5 -13
210 15 0
-117 11 -1
96 13 0
-240 5 -8
321 5 10
51 10 0
-353 5 -12
481 6 7
273 10 0
264 9 0
453 10 0
173 13 0
22 0 22
482 2 120
-456 2 -114
114 6 1
47 8 0
236 9 0
283 11 0
-175 9 -1
448 10 0
-120 14 -1
-73 7 -1
97 13 0
225 14 0
-201 2 -51
-118 8 -1
491 15 0
47 4 2
-4 10 -1
-23 6 -1
291 0 291
143 5 4
331 7 2
73 2 18
-150 0 -150
154 9 0
200 0 200
-333 12 -1
-204 9 -1
506 4 31
94 15 0
-340 8 -2
-196 13 -1
85 0 85
454 3 56
-420 11 -1
69 10 0
252 8 0
-445 6 -7
390 9 0
461 6 7
431 14 0
301 5 9
329 10 0
-485 3 -61
-16 13 -1
-26 14 -1
304 15 0
181 11 0
309 8 1
306 3 38
-473 12 -1
-390 3 -49
-285 10 -1
-248 11 -1
-348 7 -3
-224 9 -1
-503 5 -16
44 10 0
272 3 34
247 10 0
-156 1 -78
203 4 12
169 3 21
-162 8 -1
